radius_um,wavelength_nm,theta_deg,intensity
5.0,410.0,162.0,4.641273642878529e-05
5.0,410.0,163.0,3.067507291314699e-05
5.0,410.0,164.0,4.217092319407112e-05
5.0,410.0,165.0,4.231037146593968e-05
5.0,410.0,166.0,8.087107740128953e-05
5.0,410.0,167.0,4.161781064997372e-05
5.0,410.0,168.0,9.724291399218807e-05
5.0,410.0,169.0,5.583165670098229e-05
5.0,410.0,170.0,6.117332194645706e-05
5.0,410.0,171.0,5.0194157488221914e-05
5.0,410.0,172.0,7.626350857083422e-05
5.0,410.0,173.0,0.00012533846451838777
5.0,410.0,174.0,1.3618364089091369e-05
5.0,410.0,175.0,9.369145262498977e-05
5.0,410.0,176.0,2.8995988774213053e-05
5.0,410.0,177.0,0.00021370137648614047
5.0,410.0,178.0,0.0002202638608948811
5.0,410.0,179.0,0.00013144453365352402
5.0,410.0,180.0,0.0003701588295026895
5.0,420.0,0.0,1.0
5.0,420.0,1.0,0.6223323515261093
5.0,420.0,2.0,0.10406230067921604
5.0,420.0,3.0,0.004437485581541903
5.0,420.0,4.0,0.029684923229958034
5.0,420.0,5.0,0.00731724978634015
5.0,420.0,6.0,0.0007583142524588402
5.0,420.0,7.0,6.470842251437447e-05
5.0,420.0,8.0,0.00529451755109734
5.0,420.0,9.0,0.006735816227656761
5.0,420.0,10.0,0.001447293810536434
5.0,420.0,11.0,0.0024350750186825617
5.0,420.0,12.0,0.0033903642972760873
5.0,420.0,13.0,0.0014529025803959679
5.0,420.0,14.0,0.0005720118905455944
5.0,420.0,15.0,0.002714344118892264
5.0,420.0,16.0,0.0028032065774533776
5.0,420.0,17.0,0.0010123049897646037
5.0,420.0,18.0,0.002409607667351191
5.0,420.0,19.0,0.002362221671031951
5.0,420.0,20.0,0.0006984330539327315
5.0,420.0,21.0,0.0015045087510548144
5.0,420.0,22.0,0.0016675450273834144
5.0,420.0,23.0,0.0005376646048398941
5.0,420.0,24.0,0.0012572932208407847
5.0,420.0,25.0,0.0014708717586165326
5.0,420.0,26.0,0.0005260064592148577
