alpha_deg,red_650nm,green_550nm,blue_450nm,white_sum
16.7,0.0944973,0.404717,0.386074,0.885288
16.75,0.0622522,0.354203,0.495074,0.911529
16.8,0.039416,0.304149,0.586474,0.930039
16.85,0.0259154,0.25592,0.649563,0.931398
16.9,0.0201182,0.210326,0.684779,0.915223
16.95,0.0197814,0.167755,0.700563,0.888099
17,0.0235532,0.128281,0.707937,0.859771
17.05,0.0319877,0.0922706,0.715779,0.840037
17.1,0.0472707,0.0615365,0.727793,0.8366
17.15,0.071695,0.040267,0.740946,0.852908
17.2,0.105795,0.0346268,0.745847,0.886269
17.25,0.147347,0.0506181,0.730053,0.928018
17.3,0.191935,0.0910642,0.683772,0.966771
17.35,0.234783,0.153424,0.6051,0.993307
17.4,0.27275,0.229817,0.501624,1.00419
17.45,0.30526,0.30931,0.387887,1.00246
17.5,0.333663,0.381205,0.281159,0.996027
17.55,0.359531,0.43772,0.198048,0.995299
17.6,0.383063,0.475178,0.152141,1.01038
17.65,0.402646,0.49392,0.151194,1.04776
17.7,0.415769,0.497623,0.193781,1.10717
17.75,0.420587,0.492375,0.26777,1.18073
17.8,0.416968,0.48526,0.353183,1.25541
17.85,0.406306,0.482196,0.429073,1.31758
17.9,0.390263,0.485471,0.480929,1.35666
17.95,0.3694,0.492238,0.504953,1.36659
18,0.342767,0.495157,0.508019,1.34594
18.05,0.308828,0.485309,0.504285,1.29842
18.1,0.267156,0.45604,0.509643,1.23284
18.15,0.219725,0.405751,0.534816,1.16029
18.2,0.170851,0.33836,0.579007,1.08822
18.25,0.125718,0.261655,0.627657,1.01503
18.3,0.0883803,0.184908,0.657212,0.930501
18.35,0.0604952,0.117086,0.645789,0.82337
18.4,0.041542,0.0659534,0.584178,0.691673
18.45,0.0302888,0.0374803,0.480993,0.548762
18.5,0.0264109,0.0348944,0.359663,0.420968
18.55,0.0310827,0.0575678,0.249827,0.338478
18.6,0.0460983,0.100667,0.177648,0.324413
18.65,0.0721285,0.156335,0.15828,0.386743
18.7,0.10737,0.216141,0.191981,0.515491
18.75,0.147629,0.273513,0.264756,0.685898
18.8,0.187946,0.324821,0.353951,0.866718
18.85,0.22481,0.368829,0.437157,1.0308
18.9,0.257625,0.405406,0.50033,1.16336
18.95,0.28851,0.434757,0.540938,1.2642
19,0.320607,0.457615,0.565281,1.3435
